,userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake
1132,3,76,0,0,1,1,2,12,1
921,152,966,0,6,1,0,0,9,0
628,319,429,0,68,1,1,0,7,0
598,557,703,0,60,1,0,0,11,0
479,695,635,25,21,1,0,0,9,0
678,536,669,21,30,1,1,2,8,0
523,449,481,34,45,1,1,2,10,0
1070,10,1768,0,0,0,0,4,14,1
32,535,368,122,49,1,1,0,18,0
574,462,682,0,94,1,1,0,10,0
633,875,878,4,15,1,1,0,13,0
805,512,522,56,88,1,1,0,10,0
59,804,648,2,29,1,1,0,13,0
929,125,691,15,3,1,0,3,14,0
371,1058,614,23,52,1,0,0,12,0
665,276,352,0,69,1,1,0,8,0
545,174,172,0,1,1,1,0,10,0
143,507,493,59,25,1,1,0,12,0
481,337,482,0,7,1,1,0,14,0
72,413,677,0,38,1,1,0,15,0
690,427,594,7,37,1,1,0,9,0
902,1173,1431,15,3,1,0,0,10,0
339,917,591,37,48,1,1,0,8,0
869,427,548,72,54,1,1,0,11,0
225,118,92,0,3,1,1,0,8,0
492,81,142,0,8,1,1,2,7,0
533,406,478,0,76,1,1,0,12,0
209,371,357,78,19,1,1,0,12,0
18,2207,593,47,198,1,0,0,15,0
486,600,719,50,181,1,1,0,12,0
261,208,310,9,440,1,1,0,10,0
1141,0,54,0,0,0,1,0,11,1
425,304,298,32,1,1,1,4,17,0
318,95,90,0,4,1,1,2,14,0
404,421,424,15,124,1,1,0,6,0
1130,3,151,0,0,0,1,0,16,1
163,199,197,74,6,1,0,0,10,0
593,523,782,9,471,1,1,0,5,0
563,303,341,20,12,1,1,0,13,0
374,200,257,20,3,1,1,0,11,0
153,611,412,139,12,1,1,0,13,0
248,342,371,43,15,1,1,0,11,0
21,679,764,23,39,1,1,0,11,0
746,168,10,0,0,1,0,0,5,0
337,260,344,0,99,1,1,0,14,0
240,489,473,8,86,1,0,4,9,0
682,400,835,0,44,1,1,0,9,0
941,47,124,0,3,1,1,0,13,0
853,338,367,2,37,1,1,0,13,0
740,5,4,0,0,1,0,2,13,0
597,495,491,40,12,1,1,2,11,0
97,936,706,35,61,1,1,1,16,0
257,561,737,0,66,1,1,0,9,0
408,227,342,49,128,1,1,0,9,0
507,352,575,6,88,1,1,0,13,0
544,619,793,98,272,1,1,0,7,0
1117,494,3853,0,1,1,0,4,18,1
731,433,490,0,12,1,1,0,11,0
577,116,214,0,5,1,1,0,11,0
717,647,454,0,6,1,1,0,6,0
436,225,446,0,53,1,0,0,11,0
990,91,149,0,7,1,0,0,18,0
975,44,361,0,2,0,0,0,15,0
1183,401,3796,0,0,0,0,3,10,1
772,284,289,8,31,1,1,0,10,0
210,378,422,21,31,1,1,0,12,0
451,501,465,18,4,1,1,0,10,0
570,467,681,1,149,1,1,0,10,0
73,415,416,67,45,1,1,0,9,0
438,594,863,105,276,1,1,0,9,0
1075,32,2471,0,0,0,0,3,13,1
140,760,577,20,15,1,0,0,9,0
692,341,440,51,9,1,1,0,14,0
922,149,822,83,6,1,0,0,13,0
1020,534,539,11,0,1,0,0,11,1
675,601,509,33,223,1,1,0,10,0
705,43,48,0,13,1,1,4,10,0
815,508,504,9,74,1,1,0,5,0
1040,69,3577,0,1,0,0,1,9,1
716,1083,1066,46,469,1,0,0,9,0
970,183,401,0,9,1,1,0,20,0
1104,163,6747,0,3,1,0,0,10,1
582,488,546,14,25,1,1,0,9,0
939,353,733,32,5,1,1,0,7,0
872,492,724,0,71,1,1,0,14,0
506,318,306,51,13,1,0,0,11,0
884,2082,2197,94,875,1,0,0,7,0
1078,9,1770,0,0,0,0,0,8,1
104,642,776,85,236,1,1,4,15,0
1080,7,2116,0,0,0,0,2,12,1
615,305,386,24,166,1,1,0,9,0
927,21,586,54,3,1,0,0,12,0
84,346,303,14,16,1,0,0,11,0
455,446,489,29,46,1,1,0,10,0
672,409,407,25,164,1,1,0,12,0
1131,1,1807,0,0,0,1,2,12,1
689,349,806,125,66,1,1,0,10,0
841,300,442,0,36,1,1,0,12,0
748,56,153,28,36,1,1,3,13,0
1100,29,5105,0,0,0,0,5,18,1
368,51,48,0,43,1,1,0,8,0
611,1209,1093,38,289,1,0,0,8,0
496,386,482,32,48,1,1,0,7,0
13,337,455,0,2,1,1,0,14,0
427,420,417,43,6,1,1,0,11,0
68,260,410,0,3,1,1,0,7,0
724,661,628,63,29,1,1,0,8,0
428,209,257,10,52,1,1,0,12,0
106,167,184,33,10,1,1,2,10,0
288,470,627,61,7,1,1,0,8,0
6,52,121,0,30,1,1,0,9,0
794,527,659,24,109,1,0,0,10,0
595,894,720,41,80,1,0,0,11,0
858,727,729,0,31,1,1,0,11,0
529,266,257,44,105,1,1,0,11,0
1158,301,7493,0,0,1,1,4,10,1
167,247,236,1,12,1,1,0,12,0
824,419,411,33,38,1,1,0,13,0
686,439,910,1,517,1,1,0,10,0
739,442,719,0,96,1,0,2,7,0
485,616,564,37,26,1,0,0,10,0
501,156,199,42,2,1,0,0,11,0
1154,0,524,0,0,1,1,0,6,1
540,197,267,13,8,1,1,0,12,0
979,1002,4209,0,9,1,0,2,16,0
233,340,806,0,18,1,0,0,13,0
543,198,198,17,35,1,0,0,12,0
1098,52,4614,0,0,1,0,0,14,1
1170,133,145,0,4,1,0,0,15,1
920,183,155,0,1,1,0,0,10,0
331,115,143,0,15,1,1,0,7,0
785,1121,1118,150,615,1,1,0,10,0
849,406,478,0,76,1,1,0,12,0
800,550,485,31,84,1,1,0,11,0
36,491,745,0,373,1,1,3,16,0
516,423,523,0,114,1,1,0,11,0
212,848,959,0,225,1,0,0,8,0
549,251,257,0,24,1,1,0,15,0
217,179,347,0,25,1,0,2,5,0
259,384,469,42,71,1,1,0,11,0
644,362,373,0,19,1,0,0,10,0
972,96,134,3,9,1,1,0,20,0
956,517,1693,67,6,1,0,4,12,0
81,258,286,24,5,1,1,0,9,0
340,153,367,9,72,1,0,0,13,0
5,545,995,26,340,1,1,0,8,0
158,278,672,25,21,1,1,0,15,0
1049,69,1374,9,0,1,1,1,7,1
948,239,416,27,8,1,1,0,14,0
1058,110,1612,0,0,0,1,4,12,1
907,498,148,12,2,1,0,4,12,0
74,247,289,35,70,1,1,0,14,0
144,562,691,18,21,1,1,0,12,0
136,284,361,45,41,1,1,0,19,0
560,472,534,0,27,1,1,0,7,0
1151,25,322,0,0,1,0,0,8,1
553,155,359,73,71,1,1,0,8,0
880,176,256,0,1,1,1,0,12,0
466,361,358,18,75,1,0,0,9,0
291,269,268,0,23,1,1,0,8,0
750,290,656,0,50,1,1,0,11,0
958,98,937,0,8,1,0,0,15,0
174,334,499,34,30,1,1,0,12,0
255,181,186,0,8,1,1,0,11,0
218,116,187,0,0,1,1,0,12,0
1076,102,332,0,0,0,0,1,7,1
982,207,553,0,9,1,0,2,11,0
1137,13,114,0,0,0,0,4,9,1
77,312,323,22,12,1,1,0,7,0
1056,5,964,0,1,1,0,0,9,1
825,476,462,9,75,1,1,0,13,0
950,21,63,0,1,1,0,4,14,0
718,172,141,0,62,1,0,0,9,0
928,12,202,135,2,1,0,0,12,0
838,893,902,30,87,1,1,0,14,0
195,447,572,83,120,1,1,0,15,0
1182,1338,3364,0,0,0,1,0,10,1
50,345,393,0,2,1,1,0,8,0
856,293,235,0,103,1,1,0,12,0
1191,0,1,92,9,1,0,1,15,1
811,846,743,22,38,1,0,0,12,0
354,244,263,0,82,1,1,0,11,0
903,158,303,51,2,1,0,2,11,0
308,252,509,0,28,1,1,0,11,0
641,366,377,8,373,1,1,0,9,0
1005,99,1358,0,1,1,0,3,7,1
61,516,555,57,39,1,1,0,12,0
797,319,378,48,41,1,1,0,13,0
994,25,1937,0,0,1,1,0,10,1
216,274,403,30,122,1,1,0,10,0
579,1507,1198,35,175,1,1,0,13,0
524,318,318,8,9,1,1,0,10,0
1053,49,2987,0,0,0,0,0,8,1
1111,109,1722,0,8,1,1,5,11,1
198,334,234,0,16,1,1,0,12,0
301,120,84,25,48,1,1,0,13,0
256,319,319,46,138,1,1,0,11,0
156,447,387,12,31,1,1,0,12,0
489,384,410,0,48,1,1,1,13,0
879,324,323,0,114,1,1,0,10,0
1109,38,1678,0,0,0,0,5,19,1
141,218,221,10,8,1,1,0,15,0
1072,16,2473,0,0,0,0,0,13,1
197,187,207,9,16,1,1,0,9,0
79,323,326,28,8,1,1,0,9,0
1152,0,194,0,0,1,1,0,9,1
1044,51,3241,50,0,1,1,2,13,1
